pl_name,hostname,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_tranmid,st_teff
TOI-7041 b,TOI-7041,2025,9.691 d,11.43316031 earthRad,114.41822652 earthMass,2460160.393 d,4700.0 K
NGTS-32 b,NGTS-32,2025,3.31211 d,15.91675259 earthRad,181.16219199 earthMass,2459435.763 d,5680.0 K
L 98-59 f,L 98-59,2025,23.064 d,1.48 earthRad,2.8 earthMass,2458437.84 d,3415.0 K
KMT-2024-BLG-1209L b,KMT-2024-BLG-1209L,2025,nan d,13.2 earthRad,839.06699448 earthMass,nan d,nan K
HD 101581 c,HIP 56998,2025,6.20401 d,0.99 earthRad,0.937 earthMass,2460017.114 d,4675.0 K
TOI-4214 b,TOI-4214,2025,3.4913885 d,10.68215861 earthRad,165.27077164 earthMass,2459129.8346 d,6370.0 K
TOI-3877 b,TOI-3877,2025,4.123596 d,11.67975789 earthRad,99.7981198 earthMass,2459753.93391 d,5731.0 K
TOI-5795 b,TOI-5795,2025,6.1406325 d,5.62 earthRad,23.66 earthMass,2459770.67397 d,5715.0 K
TOI-2876 b,TOI-2876,2025,6.2996431 d,9.6397234 earthRad,54.03082919 earthMass,2459109.77217 d,5271.0 K
TOI-1011 b,TOI-1011,2025,2.470498 d,1.45 earthRad,4.04 earthMass,2458489.9776 d,5475.0 K
TOI-1846 b,TOI-1846,2025,3.9306737 d,1.792 earthRad,3.87 earthMass,2459565.95523 d,3568.0 K
G 261-6 b,G 261-6,2025,5.4536 d,1.1 earthRad,1.37 earthMass,2459345.14 d,2907.0 K
TOI-201 c,TOI-201,2025,2800.0 d,11.13051784 earthRad,4513.1633794 earthMass,2460062.593 d,6394.0 K
GJ 341 b,GJ 341,2025,7.57686 d,0.88 earthRad,4.0 earthMass,2459301.771 d,3770.0 K
HD 102888 b,HD 102888,2025,252.06 d,12.8 earthRad,1808.44363583 earthMass,nan d,4990.0 K
HD 143811 AB b,HD 143811 A,2025,117000.0 d,15.69257298 earthRad,1938.7532827 earthMass,nan d,6791.0 K
TOI-5108 b,TOI-5108,2025,6.753581 d,6.6 earthRad,32.0 earthMass,2459569.4778 d,5808.0 K
55 Cnc B c,55 Cnc B,2025,33.747 d,2.16 earthRad,5.3 earthMass,2455491.8 d,3286.0 K
TOI-5817 b,TOI-5817,2025,15.61031 d,3.08 earthRad,10.3 earthMass,2459799.3065 d,5770.0 K
TOI-5143 c,TOI-5143,2025,5.2097118 d,16.25302201 earthRad,nan earthMass,2459527.24264 d,5183.0 K
TOI-5261 b,TOI-5261,2025,4.1509768 d,11.60129502 earthRad,3651.84839643 earthMass,2459716.931 d,5790.0 K
Kepler-139 f,Kepler-139,2025,355.0 d,6.67 earthRad,36.0 earthMass,nan d,5630.0 K
HD 73344 d,HD 73344,2025,5823.0 d,13.2 earthRad,810.46243785 earthMass,2444345.0 d,6148.0 K
TOI-3160 A b,TOI-3160 A,2025,3.971281 d,13.7646283 earthRad,378.21580433 earthMass,2459609.9851 d,6190.0 K
TOI-6000 b,TOI-6000,2025,0.448959 d,0.94 earthRad,0.779 earthMass,2460109.917 d,3419.0 K
TOI-2407 b,TOI-2407,2025,2.702969 d,4.26 earthRad,16.8 earthMass,2459149.0561 d,3530.0 K
HD 23079 c,HD 23079,2025,5.748913 d,2.8 earthRad,8.26 earthMass,nan d,5994.0 K
TOI-2345 b,TOI-2345,2025,1.0528573 d,1.504 earthRad,3.49 earthMass,2459116.7208 d,4687.0 K
TOI-2141 c,TOI-2141,2025,5.4624 d,2.35 earthRad,6.14 earthMass,2458979.19 d,5635.0 K
HD 224018 d,HD 224018,2025,138.0731 d,2.4 earthRad,4.2 earthMass,2457741.745 d,5784.0 K
WASP-155 b,WASP-155,2025,3.110413 d,13.45077684 earthRad,276.8285425 earthMass,2459852.08494 d,5660.0 K
HD 28471 b,HD 28471,2025,3.1649 d,1.75 earthRad,3.72 earthMass,2452945.806 d,5766.0 K
Kepler-289 e,Kepler-289,2025,330.0716 d,2.94 earthRad,17.4 earthMass,2455173.987 d,5990.0 K
TOI-3135 b,TOI-3135,2025,3.7065585 d,13.65253849 earthRad,327.36325921 earthMass,2459595.16441 d,5890.0 K
Barnard e,Barnard's star,2025,6.7392 d,0.637 earthRad,0.193 earthMass,nan d,3195.0 K
TOI-1803 c,TOI-1803,2025,12.885779 d,4.29 earthRad,8.0 earthMass,2458911.6747 d,4687.0 K
TOI-4773 b,TOI-4773,2025,1.7452851 d,15.22179579 earthRad,1687.66884117 earthMass,2459673.53995 d,6740.0 K
TOI-2346 b,TOI-2346,2025,3.3312029 d,16.11851425 earthRad,394.10722468 earthMass,2459040.83958 d,6480.0 K
TOI-6109 b,TOI-6109,2025,5.690476 d,4.8704 earthRad,21.1 earthMass,2458791.0538 d,5660.0 K
GJ 251 c,GJ 251,2025,53.647 d,1.8 earthRad,3.88 earthMass,2458922.0 d,3342.0 K
TOI-2986 b,TOI-2986,2025,3.2783662 d,9.292245 earthRad,96.61983573 earthMass,2459537.62548 d,5906.0 K
MOA-2022-BLG-091L b,MOA-2022-BLG-091L,2025,nan d,13.0 earthRad,1141.00398113 earthMass,nan d,nan K
TIC 434398831 b,TIC 434398831,2025,3.685504 d,3.51 earthRad,12.1 earthMass,2458468.635 d,5638.0 K
HD 224018 b,HD 224018,2025,10.6413 d,0.91 earthRad,4.1 earthMass,2457762.98 d,5784.0 K
TOI-3682 b,TOI-3682,2025,3.3462406 d,12.80065596 earthRad,69.28659273 earthMass,2459692.65921 d,5703.0 K
TOI-3980 b,TOI-3980,2025,3.6089254 d,14.4595851 earthRad,187.51876013 earthMass,2459528.89504 d,5840.0 K
TOI-1266 d,TOI-1266,2025,32.509 d,1.74 earthRad,3.68 earthMass,2458729.03 d,3563.0 K
Kepler-279 e,Kepler-279,2025,98.3531 d,4.13 earthRad,56.0 earthMass,2455050.883 d,6689.45 K
KMT-2023-BLG-0119L b,KMT-2023-BLG-0119L,2025,nan d,11.0 earthRad,83.7 earthMass,nan d,nan K
TOI-1438 b,TOI-1438,2025,5.13967 d,3.04 earthRad,9.4 earthMass,2458683.6256 d,5230.0 K
G 268-110 b,G 268-110,2025,1.43263 d,1.13 earthRad,1.52 earthMass,2457613.435 d,nan K
TIC 434398831 c,TIC 434398831,2025,6.210291 d,5.63 earthRad,27.0 earthMass,2458470.6239 d,5638.0 K
WISPIT 2 b,WISPIT 2,2025,nan d,17.93436912 earthRad,1541.46777395 earthMass,nan d,4400.0 K
TOI-5027 b,TOI-5027,2025,10.24368 d,10.76062147 earthRad,642.01338214 earthMass,2458649.4577 d,5909.0 K
K2-157 d,K2-157,2025,66.5 d,5.16 earthRad,23.3 earthMass,2458589.3 d,5334.0 K
KMT-2017-BLG-2197L b,KMT-2017-BLG-2197L,2025,nan d,12.5 earthRad,2809.60311788 earthMass,nan d,nan K
TOI-5181 A b,TOI-5181 A,2025,3.8922295 d,13.34989601 earthRad,330.54154328 earthMass,2460100.73085 d,6060.0 K
OGLE-2023-BLG-0836L b,OGLE-2023-BLG-0836L,2024,nan d,12.9 earthRad,1385.73185452 earthMass,nan d,nan K
TOI-1173 b,TOI-1173,2024,7.06466 d,9.19 earthRad,27.4 earthMass,2458702.8444 d,5350.0 K
Gaia22dkvL b,Gaia22dkvL,2024,nan d,14.1 earthRad,187.83658854 earthMass,nan d,nan K
HD 134606 e,HD 134606,2024,4.3203 d,1.33 earthRad,2.34 earthMass,nan d,5576.0 K
GJ 900 b,GJ 900 A,2024,nan d,12.4 earthRad,3496.112477 earthMass,nan d,3976.0 K
TOI-5076 b,TOI-5076,2024,23.443162 d,3.48935569 earthRad,16.14568308 earthMass,2460204.0018 d,4780.0 K
HD 134606 c,HD 134606,2024,58.883 d,3.37 earthRad,11.31 earthMass,nan d,5576.0 K
TOI-3353.01,TOI-3353,2024,4.6657965 d,2.6667555 earthRad,7.59 earthMass,2460174.14998 d,6365.0 K
TOI-4633 c,TOI-4633,2024,271.9445 d,3.2 earthRad,123.0 earthMass,2458864.8265 d,5800.0 K
TOI-4443.01,TOI-4443,2024,1.8498567 d,1.7193265 earthRad,3.6 earthMass,2459415.15198 d,5834.0 K
TOI-4153 b,TOI-4153,2024,4.6174141 d,16.11851425 earthRad,365.50266805 earthMass,2459557.05746 d,6860.0 K
TOI-1798.01,TOI-1798,2024,8.021522331 d,2.448 earthRad,6.5 earthMass,2459688.1359 d,5165.0 K
HD 118203 c,HD 118203,2024,5103.0 d,12.4 earthRad,3747.19691853 earthMass,2456825.0 d,5742.0 K
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,2024,nan d,5.19 earthRad,23.5 earthMass,nan d,nan K
TOI-1386 c,TOI-1386,2024,232.0 d,10.3 earthRad,75.2 earthMass,2458750.9 d,5735.0 K
TOI-2374 b,TOI-2374,2024,4.31361 d,6.81 earthRad,56.64 earthMass,2458326.564 d,4802.0 K
TOI-1855 b,TOI-1855,2024,1.36414864 d,18.49481816 earthRad,360.09958513 earthMass,2459243.19743 d,5359.0 K
TOI-1806.01,TOI-1806,2024,15.1454693 d,3.4095367 earthRad,11.5 earthMass,2458909.543414 d,3272.0 K
TOI-2128 b,TOI-2128,2024,16.34136 d,2.08874836 earthRad,4.5 earthMass,2458987.2663 d,5968.0 K
TOI-3321 b,TOI-3321,2024,3.6525145 d,15.55806521 earthRad,176.07693748 earthMass,2458940.81751 d,5850.0 K
TOI-6054.02,TOI-6054,2024,12.563636 d,2.82 earthRad,9.3 earthMass,2458826.8929 d,6047.0 K
TIC 139270665 c,TIC 139270665,2024,1010.0 d,12.9 earthRad,1554.18091023 earthMass,2460042.0 d,5844.0 K
HD 134606 d,HD 134606,2024,966.5 d,7.59 earthRad,44.8 earthMass,nan d,5576.0 K
GJ 1289 b,GJ 1289,2024,111.74 d,2.38 earthRad,6.27 earthMass,2459403.2 d,3296.0 K
